id,name,location,completion_time,num_seats
91,安菲尔德球场,利物浦,1884,54074
92,王权球场,莱斯特,2002,32500
93,圣詹姆斯公园球场,纽卡斯尔,1892,52354
94,酋长球场,伦敦伊斯灵顿伦敦区霍洛威,2006,60000
95,莫利纽球场,伍尔弗汉普顿,1889,31700
96,老特拉福德球场,大曼彻斯特郡,1910年,76212人
97,梅斯塔利亚球场,巴伦西亚,1923,55000
98,圣西罗球场,米兰,1926,75923
99,万达大都会球场,西班牙马德里,1994,68000
910,斯坦福桥球场,英国伦敦富勒姆,2018,41631
911,瓦伦西亚城市球场,巴伦西亚,1969,25354
913,温布利球场,英格兰伦敦温布利,2007,72000
914,情歌球场,西班牙比利亚雷亚尔,1923,22000
915,罗马奥林匹克球场,意大利罗马,1937,70634
916,拉蒙·桑切斯·皮斯胡安球场,西班牙塞维利亚市,1958,642714
917,意大利蓝色竞技体育场,意大利贝加莫,1928,24642
918,曼彻斯特城市球场,曼彻斯特,2002,55000
919,阿方索·佩雷斯球场,西班牙马德里,1998,17500
920,圣埃利亚球场,意大利卡利亚里,1970,23486
921,诺坎普球场,西班牙加泰罗尼亚巴塞罗那,1957,99354
922,塔尔迪尼球场,意大利帕尔马,1923,28783
923,圣地亚哥·伯纳乌球场,西班牙马德里,1947,81044
924,圣保罗球场,意大利那不勒斯,1959,55000
925,阿诺埃塔球场,西班牙圣塞瓦斯蒂安,1993,32000
926,都灵奥林匹克体育场,意大利都灵,1933,27958
927,新圣马梅斯球场,西班牙毕尔巴鄂,2013,53289
929,普鲁士公园球场,德国门兴格拉德巴赫,2004,54057
930,大众竞技球场,德国沃尔夫斯堡,2002,30000
931,西格里竞技球场,德国奥格斯堡,2009,30660
932,傲赴沙尔克球场,德国盖尔森基兴,2001,53951
933,王子公园球场,法国巴黎,1897,48583
934,慕尼黑安联球场,德国巴伐利亚州慕尼黑,2005,75000人（洲际赛事71000人）
935,拜耳球场,德国勒沃库森,1956,30000
936,莱茵·内卡竞技球场,德国辛斯海姆,2009,30150
937,西格纳尔·伊杜纳公园球场,德国多特蒙德,1974,81264
938,黑森林球场,德国弗赖堡,1954,24000
939,韦洛德罗姆球场,马赛,1937,67394
940,罗阿宗公园球场,法国雷恩,,18500
941,柏林奥林匹克体育场,德国柏林夏洛滕堡-威尔默斯多夫,1936,74475
942,皮埃尔-莫鲁瓦球场,法国阿斯克新城,2012,50186
943,虹口足球场,上海市虹口区,1999年2月22日,"35,000人"
944,圣玛丽球场,英格兰南安普顿,2001,32689
946,奥古斯特德洛纳体育场,法国兰斯,1935,21684
947,埃兰路球场,西约克郡,1897年,37890
948,南京奥林匹克体育中心,南京市,2005,61000
949,拉利科尔内球场,法国亚眠,1901,
950,卡雷斯卡基斯球场,比雷埃夫斯,1896,33334人
951,越秀山体育场,广东省广州市,1926,45000
952,路易斯二世体育场,摩纳哥,1939,18523
954,沙邦·戴尔马球场,法国波尔多,1938,34462
955,法兰西体育场,法国圣但尼,1998,81338
956,拉蒙松球场,法国蒙彼利埃,,32900
957,AWD竞技球场,德国汉诺威,1954,49000
958,奥林匹克公园球场,法国里昂,2015,60000
959,茨城鹿岛足球场,日本茨城县鹿嶋市,1993,40728
960,红牛竞技场,德国东部萨克森自由州的莱比锡,2004,44345
